bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,geometry,role
BA1-220,220,f,Substation,f,BA1,16.678952700000007,44.93118399058617,BA,POINT (16.678952700000007 44.93118399058617),ba
BA10-220,220,f,Substation,f,BA10,18.1197634,44.054072589904266,BA,POINT (18.119763399999993 44.054072589904266),ba
BA11-220,220,f,Substation,f,BA11,18.09892890000001,44.050013889901045,BA,POINT (18.09892890000001 44.050013889901045),ba
BA12-220,220,f,Substation,f,BA12,18.12321034940676,44.03655746094777,BA,POINT (18.12321034940676 44.03655746094777),ba
BA13-400,400,f,Substation,f,BA13,18.383769249933973,43.8251178397691,BA,POINT (18.383769249933973 43.8251178397691),ba
BA14-220,220,f,Substation,f,BA14,19.0143004,43.79897788969926,BA,POINT (19.014300399999993 43.79897788969926),ba
BA15-220,220,f,Substation,f,BA15,19.28103544185228,43.79218198525006,BA,POINT (19.281035441852282 43.79218198525006),ba
BA15-400,400,f,Substation,f,BA15,19.281327511720303,43.7923480558783,BA,POINT (19.281327511720303 43.7923480558783),ba
BA16-220,220,f,Substation,f,BA16,17.675840749794148,43.74706228969273,BA,POINT (17.675840749794148 43.74706228969273),ba
BA17-220,220,f,Substation,f,BA17,17.68831679989812,43.72362853969139,BA,POINT (17.68831679989812 43.72362853969139),ba
BA18-220,220,f,Substation,f,BA18,17.754869598202273,43.660186909128925,BA,POINT (17.754869598202273 43.660186909128925),ba
BA19-220,220,f,Substation,f,BA19,17.720387834118576,43.58775827399669,BA,POINT (17.720387834118576 43.58775827399669),ba
BA2-400,400,f,Substation,f,BA2,17.160075300000006,44.85934929053172,BA,POINT (17.160075300000006 44.85934929053172),ba
BA20-220,220,f,Substation,f,BA20,17.337784600000006,43.4507207894146,BA,POINT (17.337784600000006 43.4507207894146),ba
BA21-220,220,f,Substation,f,BA21,17.849607700993605,43.44910408973016,BA,POINT (17.849607700993605 43.44910408973016),ba
BA22-220,220,f,Substation,f,BA22,17.82196444854754,43.28267393989478,BA,POINT (17.82196444854754 43.28267393989478),ba
BA23-220,220,f,Substation,f,BA23,17.800559444681674,43.28121787093424,BA,POINT (17.800559444681674 43.281217870934235),ba
BA24-400,400,f,Substation,f,BA24,18.514304000188424,43.17470173930364,BA,POINT (18.514304000188424 43.17470173930364),ba
BA25-220,220,f,Substation,f,BA25,17.803684349659637,43.01231168920064,BA,POINT (17.803684349659637 43.01231168920064),ba
BA26-220,220,f,Substation,f,BA26,18.500104862579253,42.72787601304837,BA,POINT (18.500104862579253 42.72787601304837),ba
BA3-220,220,f,Substation,f,BA3,15.880297399999996,44.82940889050892,BA,POINT (15.880297399999996 44.829408890508915),ba
BA4-220,220,f,Substation,f,BA4,18.605783043969407,44.48047761418108,BA,POINT (18.605783043969407 44.480477614181076),ba
